コントロールカラム,商品管理番号（商品URL）,代引料
"","trf-mrn","1"
"","trf-nt1f","1"
"","trf-nt2f","1"
"","trf-nt3f","1"
"","trf-nt5f","1"
"","trf-nt6f","1"
"","trf-nt7f","1"
"","trf-ss","1"
"","trf-tmw","1"
"","trf-tmxx","1"
"","trf-txxx","1"
"","trf2_1712_t","1"
"","trf_1219","1"
"","trfa","0"
"","trfa-dc1","1"
"","trfa-dc2","1"
"","trfa-dc3","1"
"","trfa-dc4","1"
"","trfa-weq","1"
"","trht-nsx","1"
"","trht-nwx","1"
"","trht-ss","1"
"","trkp_1712_t","1"
"","trn3m_out17","0"
"","trn3m_out17_b","0"
"","trn3m_out17_c","0"
"","trn3s_out17","0"
"","trn3s_out17_b","0"
"","trn3s_out17_c","0"
"","trn3w_out17","0"
"","trn3w_out17_b","0"
"","trn3w_out17_c","0"
"","trne-d","1"
"","trne-d-non","1"
"","trne-d_m","1"
"","trne-s","1"
"","trne-s-non","1"
"","trne-s_m","1"
"","trne-sd","1"
"","trne-sd-non","1"
"","trne-sd_m","1"
"","trne35_m","0"
"","trne35_s","0"
"","trne35_w","0"
"","trne_1","1"
"","trne_2","1"
"","trne_3","1"
"","trnectbm","1"
"","trnectbm_teika","1"
"","trnectbs","1"
"","trnectbs_teika","1"
"","trnectbw","1"
"","trnectbw_teika","1"
"","trnectsm","1"
"","trnectsm_teika","1"
"","trnectss","1"
"","trnectss_teika","1"
"","trnectsw","1"
"","trnectsw_teika","1"
"","trpg_1712_t","1"
"","trpi_1712_t","1"
"","trs-3dpm","1"
"","trs-3dpm_ad","1"
"","trs-fc","1"
"","trs-fzbn","1"
"","trs-hypc","0"
"","trs-igpc","0"
"","trs-imbr","1"
"","trs-knec","1"
"","trs-knec_m","1"
"","trs-krmf","1"
"","trs-m3dp","1"
"","trs-mcsn","1"
"","trs-s3dp","1"
"","trs-s3dp-sps","1"
"","trs-s3dp_1","1"
"","trs-s3dp_2","1"
"","trs-s3dp_3","1"
"","trs-s3dp_ad","1"
"","trs-w3dp","1"
"","trs-w3dp_ad","1"
"","trs35_sscv","1"
"","trs45","1"
"","trs45-s","1"
"","trs45p_1612","1"
"","trs_pere_bs_sg","1"
"","trs_pere_bs_si","1"
"","trs_pere_kfk_sg","1"
"","trs_pere_kfk_si","1"
"","trs_pere_ok_mg","1"
"","trs_pere_ok_mi","1"
"","trs_pere_ok_qg","1"
"","trs_pere_ok_qi","1"
"","trs_pere_ok_sg","1"
"","trs_pere_ok_si","1"
"","trs_pere_ok_wg","1"
"","trs_pere_ok_wi","1"
"","trs_pere_pk_g","1"
"","trs_pere_pk_i","1"
"","trs_pk_bard","1"
"","trs_pk_bota","1"
"","trs_pk_mf","1"
"","trs_w_bs_sg","1"
"","trs_w_kfk_sg","1"
"","trs_w_ok_mg","1"
"","trs_w_ok_mr","1"
"","trs_w_ok_qg","1"
"","trs_w_ok_qr","1"
"","trs_w_ok_sg","1"
"","trs_w_ok_sr","1"
"","trs_w_ok_wg","1"
"","trs_w_ok_wr","1"
"","trs_w_pk_g","1"
"","trsa","1"
"","trsc-dm","1"
"","trsc-dm_m","1"
"","trsc-dw","1"
"","trsc-dw_m","1"
"","trsc-m","1"
"","trsc-pm","1"
"","trsc-pw","1"
"","trsc-s","1"
"","trsc-smc","1"
"","trsc-smc_m","1"
"","trsc-swc","1"
"","trsc-swc_m","1"
"","trsc-w","1"
"","trsd_1712_t","1"
"","trse-exm","1"
"","trse-exm_m","1"
"","trse-exs","1"
"","trse-exs_m","1"
"","trse-exw","1"
"","trse-exw_m","1"
"","trse-mar","1"
"","trse-sar","1"
"","trse-sbr","1"
"","trse-war","1"
"","trsefp_1612","1"
"","trsf-cwe","1"
"","trsf-kce","1"
"","trsf-kce_m","1"
"","trsf-kne","1"
"","trsf-kne_m","1"
"","trsf-rch","1"
"","trsf-rch_m","1"
"","trsf-wsh","1"
"","trsfps02","1"
"","trsl-nmm","1"
"","trsl-nmw","1"
"","trsl-nmx","1"
"","trsl-nsm","1"
"","trsl-nss","1"
"","trsl-nsw","1"
"","trsl-nsx","1"
"","trsl-nww","1"
"","trsl-nwx","1"
"","trsmf3dp","1"
"","trsp-c2m","1"
"","trsp-c2q","1"
"","trsp-c2s","1"
"","trsp-c2w","1"
"","trsp-ch01","1"
"","trsp-ch02","1"
"","trsp-ch03","1"
"","trsp-ch04","1"
"","trsp-ch05","1"
"","trsp-ch06","1"
"","trsp-ch07","1"
"","trsp-ch08","1"
"","trsp-ch09","1"
"","trsp-ch10","1"
"","trsp-ch11","1"
"","trsp-db-fu","1"
"","trsp-dbc2","1"
"","trsp-dm","1"
"","trsp-dmq","1"
"","trsp-dmw","1"
"","trsp-dq","1"
"","trsp-ds","1"
"","trsp-dsm","1"
"","trsp-dsq","1"
"","trsp-dsw","1"
"","trsp-dw","1"
"","trsp-dwq","1"
"","trsp-fs","1"
"","trsp-fw","1"
"","trsp-gsn","1"
"","trsp-hcm","0"
"","trsp-hcs","0"
"","trsp-hcw","0"
"","trsp-i3-fu","1"
"","trsp-igm","0"
"","trsp-igs","0"
"","trsp-kaitekiw","0"
"","trsp-m","1"
"","trsp-mhs","0"
"","trsp-ms","1"
"","trsp-mu","1"
"","trsp-mu-kaiteki","0"
"","trsp-mu-non","1"
"","trsp-mu_ad","1"
"","trsp-mu_gendama","1"
"","trsp-mu_m","1"
"","trsp-mu_up","1"
"","trsp-o3-fu","1"
"","trsp-q","1"
"","trsp-qs","1"
"","trsp-qu","1"
"","trsp-qu-fu","1"
"","trsp-qu-kaiteki","0"
"","trsp-qu-non","1"
"","trsp-qu_ad","1"
"","trsp-qu_gendama","1"
"","trsp-qu_m","1"
"","trsp-qu_up","1"
"","trsp-qwc2","1"
"","trsp-s","1"
"","trsp-s_1712","1"
"","trsp-s_1712_m","1"
"","trsp-s_1712_w","1"
"","trsp-s_ld","1"
"","trsp-sc2","1"
"","trsp-sd-fu","1"
"","trsp-sdc2","1"
"","trsp-sg","1"
"","trsp-sg-fu","1"
"","trsp-shs","0"
"","trsp-ss","1"
"","trsp-su","1"
"","trsp-su-161209","1"
"","trsp-su-kaiteki","0"
"","trsp-su-non","1"
"","trsp-su_ad","1"
"","trsp-su_b","1"
"","trsp-su_gendama","1"
"","trsp-su_m","1"
"","trsp-su_up","1"
"","trsp-susptest","1"
"","trsp-w","1"
"","trsp-whs","0"
"","trsp-ws","1"
"","trsp-wu","1"
"","trsp-wu-kaiteki","0"
"","trsp-wu-non","1"
"","trsp-wu_ad","1"
"","trsp-wu_gendama","1"
"","trsp-wu_m","1"
"","trsp-wu_up","1"
"","trsp_1","1"
"","trsp_1612","1"
"","trsp_2","1"
"","trsp_3","1"
"","trsp_4","1"
"","trsp_gold1","1"
"","trsp_m_ma1","0"
"","trsp_ocd","1"
"","trsp_ocm","1"
"","trsp_ocq","1"
"","trsp_ocs","1"
"","trsp_right_01","1"
"","trsp_s_ma1","0"
"","trsp_w_ma1","0"
"","trspamm","1"
"","trspamq","1"
"","trspams","1"
"","trspamw","1"
"","trspctbm","1"
"","trspctbm_teika","1"
"","trspctbq","1"
"","trspctbq_teika","1"
"","trspctbs","1"
"","trspctbs_teika","1"
"","trspctbw","1"
"","trspctbw_teika","1"
"","trspctsm","1"
"","trspctsm_teika","1"
"","trspctsq","1"
"","trspctsq_teika","1"
"","trspctss","1"
"","trspctss_teika","1"
"","trspctsw","1"
"","trspctsw_teika","1"
"","trspdksh","1"
"","trsphmtm","1"
"","trsphmtq","1"
"","trsphmts","1"
"","trsphmtw","1"
"","trspkbmb","1"
"","trspkbmb_gendama","1"
"","trspkbqb","1"
"","trspkbqb_gendama","1"
"","trspkbwb","1"
"","trspkbwb_gendama","1"
"","trspkkdm","1"
"","trspkkdm_ad","1"
"","trspkkdq","1"
"","trspkkdq_ad","1"
"","trspkkds","1"
"","trspkkds_ad","1"
"","trspkkds_b","1"
"","trspkkdw","1"
"","trspkkdw_ad","1"
"","trspkksm","1"
"","trspkksq","1"
"","trspkkss","1"
"","trspkksw","1"
"","trspm_out17","0"
"","trsps2","1"
"","trsps2_gendama","1"
"","trsps_out17","0"
"","trsps_out17_b","0"
"","trsps_out17_c","0"
"","trspsm","1"
"","trspsm30","1"
"","trspsm_m","1"
"","trspsmm","1"
"","trspsmm_m","1"
"","trspsmq","1"
"","trspsmq_m","1"
"","trspsmw","1"
"","trspsmw_m","1"
"","trspsp","1"
"","trspsq30","1"
"","trspss30","1"
"","trspsw30","1"
"","trspw_out17","0"
"","trspykmq","1"
"","trspykmq_ad","1"
"","trspykms","1"
"","trspykms_ad","1"
"","trspykmw","1"
"","trspykmw_ad","1"
"","trspykqs","1"
"","trspykqs_ad","1"
"","trspykwq","1"
"","trspykwq_ad","1"
"","trspykws","1"
"","trspykws_ad","1"
"","trss","1"
"","trss-qap","1"
"","trss-wap","1"
"","trssf3dp","1"
"","trswf3dp","1"
"","trsz-hmn","1"
"","trt","0"
"","trt_ht","0"
"","trt_ry","0"
"","trt_ry_ad","0"
"","trt_ry_set","0"
"","trt_ry_set_ad","0"
"","trt_w","0"
"","trt_w_ad","0"
"","trvp_1712_t","1"
"","trwe_sg","1"
"","trwe_sw","1"
"","trwe_ww","1"
"","trwg_1712_t","1"
"","twbg_1712_t","1"
"","twog_1712_t","1"
"","ufc5_1712_t","1"
"","ufcf","1"
"","ukn-hf-n","1"
"","vsp","0"
"","wcc","0"
"","wcc_1712_a","0"
"","wcc_1712_b","0"
"","wcc_1712_c","0"
"","wcc_1712_t","0"
"","wda","0"
"","wda-2","0"
"","wda_out17","0"
"","wdc","1"
"","wdc-0107","1"
"","wdc-band","1"
"","wdc-blue","1"
"","wdc-mats","1"
"","wdc-mats-non","1"
"","wdc-non","1"
"","wdc-pers","1"
"","wdc-sg-non","1"
"","wdc-six","0"
"","wdc2","1"
"","wdc2-mat","1"
"","wdc2-mat_ad","1"
"","wdc2-per","1"
"","wdc2-per_ad","1"
"","wdc2_1219","1"
"","wdc2_1612","1"
"","wdc2_1712","0"
"","wdc2_1712_a","0"
"","wdc2_1712_b","0"
"","wdc2_1712_c","0"
"","wdc2_1712_d","0"
"","wdc2_1712_e","0"
"","wdc2_1712_t","1"
"","wdc2_ad","1"
"","wdc2_copy","1"
"","wdc2_m_out","1"
"","wdc2_t_out","1"
"","wdc_1219","1"
"","wdc_b","1"
"","wdc_gaibu","1"
"","wdc_gendama","1"
"","wdc_m_out","1"
"","wdc_out17","1"
"","wdc_out17_b","1"
"","wdc_out17_c","1"
"","wdc_red","0"
"","wdc_rtv","1"
"","wdc_sale","1"
"","wdc_t_out","1"
"","wdcpsu","0"
"","wdcr_bh17","1"
"","wds","0"
"","wds-abbb","0"
"","wds-abbg","0"
"","wds-dvd01","1"
"","wds-dvd01_up","1"
"","wds-dvd02","1"
"","wds-dvd02_up","1"
"","wds-n6ps","0"
"","wds-nbbb","0"
"","wds-nbsg","0"
"","wds-ndar","0"
"","wds-ngbb","0"
"","wds-ngbg","0"
"","wds-nobb","0"
"","wds-nobg","0"
"","wds-npbb","0"
"","wds-npbg","0"
"","wds-nrdb","0"
"","wds-nrdg","0"
"","wds-nsbb","0"
"","wds-nsbg","0"
"","wds-ntwx","1"
"","wds-ntwx_up","1"
"","wds-nwbb","0"
"","wds-nwbg","0"
"","wds-rmat","0"
"","wds-rmat_up","0"
"","wds2","0"
"","wds3","0"
"","wds_1219","0"
"","wds_1612_a","0"
"","wds_1612_b","0"
"","wds_1712_a","0"
"","wds_30m","0"
"","wds_ad","0"
"","wds_asu","0"
"","wds_c","0"
"","wds_copy","0"
"","wds_cpc1","0"
"","wds_ld","0"
"","wds_ltv","0"
"","wds_m_out","0"
"","wds_ma1","0"
"","wds_mat","0"
"","wds_mat2","0"
"","wds_mat_ltv","0"
"","wds_mat_so","0"
"","wds_matset","0"
"","wds_matset_ltv","0"
"","wds_matset_so","0"
"","wds_matset_try1","0"
"","wds_matset_try2","0"
"","wds_out17","0"
"","wds_out17_b","0"
"","wds_out17_c","0"
"","wds_pers","0"
"","wds_pers-2","0"
"","wds_pers-2set","0"
"","wds_pers-ss","0"
"","wds_so","0"
"","wds_spset","0"
"","wds_t_out","0"
"","wds_temp_nosale","0"
"","wds_twist","0"
"","wdt","0"
"","wdt-ncx0","0"
"","wdt_1011m","0"
"","wdt_ad","0"
"","wdt_mat","0"
"","wgl-e","1"
"","wpn-nets","0"
"","wpn-netw","0"
"","wsd","0"
"","wsd-neck","0"
"","wsd-p","0"
"","wsd-scrh","0"
"","wsd-t","0"
"","wsn-nms2","1"
"","wsn-nmsk","1"
"","wsn-nxx1","1"
"","wsp","1"
"","wwc-rak1","1"
"","yrm-xxxx","1"
"","yrmctlat","1"
"","ysh-net1","0"
"","ysh-net2","0"
"","zbz-d","1"
"","zbz0_1712_t","1"
